CALIFORNIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
ZIP Code, and Size of Adjusted Gross Income, 
92328,,223,45,84,292,24,"7,520",220,"7,060",61,16,20,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,"4,919",27,18,0,0,0,0,0,0,0,0,23,23,0,0,0,0,191,673,191,673,23,23,200,244
92328,"$1 under $25,000",106,**,45,122,24,1604,104,1541,**,**,20,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,616,27,18,0,0,0,0,0,0,0,0,23,23,0,0,0,0,75,64,76,64,**,**,105,105
92328,"$25,000 under $50,000",75,**,39,94,**,2647,75,2529,38,8,**,**,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,1775,**,**,0,0,0,0,0,0,0,0,**,**,0,0,0,0,74,224,73,223,23,23,65,73
92328,"$50,000 under $75,000",42,45,**,76,**,3269,41,2990,23,8,**,**,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2528,**,**,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,385,42,386,**,**,30,66
92328,"$75,000 under $100,000",**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**,**,**,**,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**
92328,"$100,000 under $200,000",**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**,**,**,**,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**
92328,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92335,,"35,859","11,615","28,616","96,945","41,519","1,051,696","31,177","874,933","6,709","4,702","1,002","1,496",778,982,"5,683","55,615",0,727,"2,003",688,"7,743","2,746","39,935","5,763","47,352","1,177","9,794",0,0,"7,380","141,966","4,889","13,660","2,214","2,552","5,824","12,570","7,349","32,958","5,764","58,689","5,539","12,289","22,237","415,438","13,478","13,662",465,360,"9,333","9,283","1,154",756,"14,980","21,908","13,428","35,245","12,251","29,569",123,377,"14,579","42,290","19,118","51,532","3,183","5,043","32,141","99,823"
92335,"$1 under $25,000",19799,3530,15565,45902,18252,275758,16099,209772,1839,728,269,375,208,170,3981,36698,0,198,-183,187,1047,910,6480,3019,21934,169,283,0,0,1109,14762,294,190,700,484,769,1610,1088,2619,789,7738,561,694,7238,37574,3565,1379,31,11,1848,626,150,58,9577,12613,9436,27744,8848,23344,**,**,4314,2609,7914,8075,1298,787,17995,50927
92335,"$25,000 under $50,000",10732,4392,8771,33472,15466,377230,10021,328537,2409,806,271,261,208,143,1174,14263,0,199,-74,220,1903,884,10433,1832,17924,502,2574,0,0,2818,46487,1665,2197,1052,1153,2126,4296,2810,9120,2130,20356,2080,3157,9690,142594,6555,6209,156,109,4854,4239,597,410,4830,8478,3992,7501,3403,6225,**,**,5537,10722,6385,13212,971,1409,9736,33000
92335,"$50,000 under $75,000",3525,2249,2859,11629,5309,212279,3368,187201,1413,392,220,149,170,90,337,2825,0,161,39,144,1813,527,9268,653,5371,275,3355,0,0,1989,40021,1575,3908,372,603,1644,3564,1988,9373,1619,16318,1627,3235,3506,114928,2307,4088,153,120,1886,3107,259,179,531,748,0,0,0,0,32,31,2973,11302,3055,12041,514,1187,3009,10014
92335,"$75,000 under $100,000",1176,919,947,4017,1758,99867,1115,86537,632,332,131,151,107,84,118,542,0,82,301,82,1460,240,6064,184,1422,133,2032,0,0,910,21610,839,3229,59,189,792,1741,910,5800,769,8518,789,2023,1176,60917,743,1465,87,80,554,1015,97,76,42,69,0,0,0,0,26,31,1131,7308,1140,7551,201,515,974,3701
92335,"$100,000 under $200,000",589,498,442,1825,699,72170,544,57312,389,494,111,560,85,495,73,1287,0,87,1920,55,1520,185,7690,75,701,98,1550,0,0,518,14783,480,3289,31,123,465,1091,517,4914,437,5468,458,1506,589,49928,308,521,38,40,191,296,51,33,**,**,0,0,0,0,37,68,586,7996,586,8254,178,786,427,2181
92335,"$200,000 or more",38,27,32,100,35,14392,30,5574,27,1950,**,**,**,**,**,**,0,**,**,**,**,**,**,**,**,**,**,0,0,36,4303,36,847,0,0,28,268,36,1132,20,291,24,1674,38,9497,**,**,**,**,0,0,**,**,0,0,0,0,0,0,28,247,38,2353,38,2399,21,359,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92336,,"35,466","14,616","25,288","88,150","36,189","1,788,988","31,589","1,565,603","12,417","4,228","2,327","1,880","1,947","1,142","6,282","55,457",0,"2,057","3,325","1,138","16,598","3,910","69,490","5,226","47,053","1,518","16,041",41,805,"16,502","448,371","12,981","57,928","3,086","4,612","14,353","60,591","16,471","133,103","14,295","200,165","13,712","37,698","27,086","932,060","15,115","20,604",917,902,"9,688","12,375","2,256","1,431","7,718","10,443","8,055","18,923","7,018","15,279",831,"2,285","22,057","123,124","25,435","134,698","5,103","13,101","29,810","97,431"
92336,"$1 under $25,000",13266,1997,9054,23634,8310,172934,10556,129890,1698,550,273,228,221,87,2759,23394,0,272,-260,196,1212,738,5747,1924,15238,130,239,0,0,1173,19896,351,329,702,457,874,3182,1165,4369,892,10413,645,1009,5765,33130,2450,1016,**,**,792,271,118,46,4122,5050,5541,14639,4961,11933,**,**,3982,2546,6368,6318,1266,784,11498,27632
92336,"$25,000 under $50,000",8228,2887,6083,21165,9080,300071,7503,256948,2342,868,356,333,290,185,1295,14516,0,383,-248,246,2321,852,11654,1353,14011,457,2546,**,**,3359,63559,1993,3010,1224,1370,2646,9220,3340,15190,2618,29208,2575,5086,7425,124396,4433,4393,151,87,2785,2523,511,331,2674,4150,2514,4284,2057,3346,**,**,5114,10849,5889,13586,1048,1732,7147,22223
92336,"$50,000 under $75,000",5508,3003,4056,15863,6908,341060,5266,304795,2788,738,411,240,341,149,824,6287,0,366,-68,220,3003,797,13995,865,8048,406,5058,**,**,4121,96997,3314,8802,724,1264,3562,13844,4120,26253,3536,44019,3445,7816,5449,173816,3283,5481,242,197,2556,3862,435,273,759,1048,0,0,0,0,47,67,4682,18099,4868,19703,907,1987,4591,16723
92336,"$75,000 under $100,000",3869,2764,2797,12104,5251,335109,3760,305215,2358,779,460,343,390,195,642,3471,0,377,73,193,3079,617,12472,593,5324,260,4129,**,**,3414,96584,3091,12474,271,803,3090,13264,3413,28821,3076,42818,2972,8347,3856,189840,2444,4852,224,230,1950,3399,446,290,163,195,0,0,0,0,85,115,3704,22611,3731,23779,665,1747,3201,13697
92336,"$100,000 under $200,000",4305,3710,3075,14423,6233,557591,4228,508704,2994,1070,758,652,643,475,695,5918,0,585,1284,254,5609,833,21675,466,4148,245,3710,41,805,4147,152751,3954,27868,165,718,3906,19424,4145,51037,3906,67633,3813,13750,4301,350742,2439,4309,300,388,1605,2320,705,465,**,**,0,0,0,0,458,836,4286,54432,4290,56285,1081,4606,3219,15808
92336,"$200,000 or more",290,255,223,961,407,82223,276,60051,237,223,69,84,62,51,67,1871,0,74,2544,29,1374,73,3947,25,284,20,359,**,**,288,18584,278,5445,**,**,275,1657,288,7433,267,6074,262,1690,290,60136,66,553,**,**,0,0,41,26,0,0,0,0,0,0,241,1267,289,14587,289,15027,136,2245,154,1348
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92337,,"14,958","5,682","11,384","37,895","15,895","657,980","13,322","546,516","4,743","1,407",633,"1,070",486,367,"2,454","21,340",0,525,252,411,"5,343","1,528","22,118","2,385","21,553",496,"4,718",0,0,"6,399","148,046","4,813","16,212","1,384","2,204","5,559","20,713","6,384","42,936","5,571","64,826","5,111","11,878","11,337","329,618","6,609","8,348",321,272,"4,419","5,448",834,522,"3,919","5,308","3,922","9,167","3,439","7,417",174,575,"8,700","44,467","10,293","48,857","1,926","7,171","12,854","40,478"
92337,"$1 under $25,000",5837,835,4246,10712,3843,78175,4670,58424,759,251,84,66,63,26,1227,10327,0,75,61,80,441,337,2437,906,7206,49,73,0,0,546,8532,175,173,306,392,403,1314,538,2039,414,4311,297,409,2590,14854,1121,467,**,**,409,142,66,27,1969,2376,2519,6781,2288,5567,**,**,1752,1129,2841,2823,574,350,5106,12617
92337,"$25,000 under $50,000",4302,1517,3383,11566,5040,156315,3964,135354,1282,278,154,110,108,54,615,6901,0,132,-43,103,1075,406,4758,711,7375,180,983,0,0,1791,31876,1093,1641,625,782,1454,4918,1785,8183,1466,14601,1313,2057,3957,62997,2451,2389,88,48,1644,1484,273,177,1510,2363,1403,2386,1151,1850,**,**,2606,5209,2996,6505,507,833,3780,12024
92337,"$50,000 under $75,000",2540,1479,1981,7902,3607,156115,2465,141712,1228,219,152,67,119,43,321,1434,0,119,-83,98,902,354,5369,436,3997,129,1582,0,0,1950,42680,1594,4021,325,638,1729,6281,1950,12107,1728,19078,1642,3226,2520,79067,1647,2845,101,78,1309,2057,219,139,399,522,0,0,0,0,**,**,2112,7725,2215,8287,387,713,2150,7863
92337,"$75,000 under $100,000",1344,1048,1046,4527,2017,115662,1312,105446,840,184,112,63,91,48,149,991,0,88,114,64,866,220,4017,218,1923,79,1214,0,0,1217,32391,1104,4195,90,252,1120,4296,1216,9593,1124,14026,1053,2658,1339,65527,879,1750,84,78,712,1235,155,98,41,47,0,0,0,0,49,50,1301,7533,1311,7866,206,496,1135,4546
92337,"$100,000 under $200,000",890,766,687,3050,1333,111371,871,98653,595,332,131,764,105,196,142,1687,0,111,203,66,2059,211,5537,114,1052,59,866,0,0,851,29225,809,5316,38,140,810,3478,851,9658,801,11969,767,2840,886,70684,511,897,48,68,345,530,121,81,**,**,0,0,0,0,92,191,884,10845,885,11297,221,998,683,3428
92337,"$200,000 or more",45,37,41,138,55,40342,40,6927,39,143,**,**,**,**,**,**,0,**,**,**,**,**,**,**,**,**,**,0,0,44,3342,38,866,**,**,43,426,44,1356,38,841,39,688,45,36489,**,**,**,**,0,0,**,**,0,0,0,0,0,0,33,334,45,12026,45,12079,31,3781,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92339,,442,193,258,842,220,"25,962",351,"19,157",195,227,70,156,57,89,103,"1,704",0,49,76,34,599,92,"2,693",52,571,51,594,0,0,207,"5,269",167,"1,117",37,38,185,466,206,"1,720",172,"1,997",180,560,355,"16,534",129,165,29,19,63,84,0,0,37,44,57,106,44,80,0,0,326,"2,671",357,"2,990",124,495,303,930
92339,"$1 under $25,000",149,**,64,196,45,1732,105,1356,34,27,**,**,**,**,40,313,0,28,-26,**,**,**,**,31,353,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,65,421,20,6,**,**,**,**,0,0,37,44,57,106,44,80,0,0,56,39,80,82,27,18,109,237
92339,"$25,000 under $50,000",89,55,57,176,48,3344,68,2240,36,88,43,88,36,44,20,160,0,**,**,34,599,50,1041,**,**,30,260,0,0,46,957,**,**,37,38,41,81,45,237,37,351,33,59,86,1651,38,33,**,**,39,49,0,0,**,**,**,**,**,**,0,0,70,167,76,196,22,41,66,145
92339,"$50,000 under $75,000",72,39,46,158,48,4399,63,3195,36,9,**,**,**,**,23,619,0,**,**,**,**,**,**,21,218,**,**,0,0,44,861,54,258,**,**,38,72,44,233,37,348,39,106,72,2724,25,38,29,19,**,**,0,0,**,**,0,0,0,0,0,0,68,349,69,439,41,156,43,134
92339,"$75,000 under $100,000",52,38,34,125,35,4492,46,3517,28,9,27,68,21,45,**,**,0,21,102,**,**,22,528,**,**,21,334,0,0,41,891,38,157,**,**,37,93,41,275,31,348,35,82,52,3028,20,32,**,**,24,35,0,0,0,0,0,0,0,0,0,0,52,431,52,439,**,**,39,122
92339,"$100,000 under $200,000",80,61,57,187,44,11995,69,8849,61,94,**,**,**,**,20,612,0,**,**,**,**,20,1124,**,**,**,**,0,0,76,2560,75,702,**,**,69,220,76,975,67,950,73,313,80,8710,26,56,**,**,**,**,0,0,0,0,0,0,0,0,0,0,80,1685,80,1834,34,280,46,292
92339,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,**,**,**,**,**,**,**,**,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92342,,"2,610","1,363","1,684","5,734","1,723","143,061","1,853","95,758","1,254","1,859",472,"1,098",392,637,471,"3,060",0,392,"1,037",351,"5,935",850,"23,691",322,"3,092",539,"5,821",0,0,"1,183","27,131",789,"4,066",352,564,"1,044","2,734","1,180","8,020",962,"10,371",964,"2,682","2,014","86,940",837,"1,154",125,119,502,709,93,53,322,440,433,894,371,728,44,131,"1,790","12,865","1,972","13,597",538,"1,772","1,949","5,601"
92342,"$1 under $25,000",895,229,554,1461,362,11246,510,5858,292,459,126,253,99,140,192,1172,0,113,-144,103,690,210,2172,101,859,72,147,0,0,148,2513,26,40,104,94,126,346,145,517,101,863,102,176,329,1963,89,37,**,**,22,8,**,**,161,196,304,674,258,544,0,0,265,173,408,386,109,69,666,1350
92342,"$25,000 under $50,000",561,265,359,1316,448,20637,407,13771,219,328,76,152,58,73,84,249,0,64,-20,71,869,172,3658,86,901,159,970,0,0,190,3265,73,128,110,137,156,386,190,729,135,1224,144,261,533,9302,237,241,29,21,153,146,30,16,124,203,129,220,113,184,0,0,411,882,439,977,102,106,457,1317
92342,"$50,000 under $75,000",463,284,306,1114,355,28742,355,19593,278,316,95,239,83,106,64,341,0,73,18,58,786,161,5178,59,592,137,1803,0,0,275,5348,187,521,78,137,240,560,275,1361,229,2016,221,557,461,17390,211,355,35,34,146,244,24,13,37,41,0,0,0,0,**,**,427,2068,436,2165,115,230,348,1037
92342,"$75,000 under $100,000",316,251,205,830,258,27447,253,19335,198,325,70,208,56,153,52,418,0,55,145,54,1305,123,4019,39,385,81,1467,0,0,236,5420,191,787,60,196,211,496,236,1557,200,2101,201,628,316,18059,143,280,21,24,104,193,39,24,**,**,0,0,0,0,24,43,313,2350,314,2442,81,209,235,814
92342,"$100,000 under $200,000",337,299,231,929,300,43847,295,31752,236,340,105,246,96,165,79,880,0,87,1038,65,2285,164,6995,37,355,90,1434,0,0,297,8696,279,2026,**,**,277,805,297,3093,266,3529,261,826,337,31286,157,241,40,40,77,118,**,**,**,**,0,0,0,0,**,**,336,5179,337,5349,109,502,243,1083
92342,"$200,000 or more",38,35,29,84,**,11142,33,5449,31,91,**,**,**,**,**,**,0,**,**,**,**,20,1669,**,**,**,**,0,0,37,1889,33,564,**,**,34,141,37,763,31,638,35,234,38,8940,**,**,**,**,0,0,0,0,0,0,0,0,0,0,20,88,38,2213,38,2278,22,656,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92344,,"7,564","3,632","5,252","19,502","7,992","392,156","6,298","307,642","2,901","3,048",583,"1,066",484,739,"1,582","15,793",0,551,"6,371",333,"5,703","1,187","25,451","1,258","11,661",552,"5,773",0,0,"3,526","91,487","2,579","12,582",852,"1,281","3,078","8,840","3,520","24,928","3,070","37,923","2,788","7,087","5,655","210,795","3,069","4,393",205,265,"2,136","2,926",408,236,"1,694","2,354","1,864","4,568","1,621","3,614",162,675,"4,626","29,009","5,501","32,238","1,247","4,028","6,126","20,784"
92344,"$1 under $25,000",2723,580,1730,5160,1878,34898,1932,23062,473,415,115,126,94,59,716,6217,0,109,-83,67,411,255,2321,444,3734,51,82,0,0,293,5182,66,68,199,132,245,650,288,935,238,2809,165,211,1007,5703,372,144,**,**,141,47,22,8,863,1071,1237,3452,1108,2766,**,**,737,470,1362,1457,331,213,2229,5791
92344,"$25,000 under $50,000",1897,806,1354,5048,2166,69763,1615,54817,659,435,96,74,70,42,386,4938,0,108,176,86,895,285,4489,384,3867,189,1108,0,0,824,14866,447,717,347,407,673,1745,823,3252,691,6798,588,1118,1720,28239,991,949,43,33,681,610,126,76,638,1025,627,1116,513,848,0,0,1165,2447,1376,3345,308,603,1573,5140
92344,"$50,000 under $75,000",1259,805,927,3860,1708,78200,1163,67254,634,365,127,140,105,68,199,1175,0,106,51,54,810,235,4838,220,2109,131,1781,0,0,883,19454,671,1804,194,400,752,2048,883,4836,758,8122,694,1481,1244,40992,766,1385,45,33,632,1069,83,48,159,210,0,0,0,0,29,27,1084,4070,1113,4463,213,454,1039,3675
92344,"$75,000 under $100,000",778,610,564,2524,1092,66994,736,58396,456,223,77,195,67,139,134,508,0,69,131,44,935,167,4150,117,1069,81,1298,0,0,655,16918,568,2191,77,234,592,1643,655,4544,575,7216,558,1386,777,39618,484,1029,47,67,394,740,76,42,34,48,0,0,0,0,**,**,739,4605,750,4891,141,417,635,2545
92344,"$100,000 under $200,000",818,749,607,2645,1054,106036,780,91466,600,281,142,278,125,208,147,2955,0,130,792,82,2652,215,7092,93,882,100,1504,0,0,784,26197,744,5318,35,108,733,2391,784,8510,733,11355,708,2353,818,69822,436,800,70,132,288,460,101,62,**,**,0,0,0,0,75,147,813,10896,812,11324,201,784,614,3141
92344,"$200,000 or more",89,82,70,265,94,36265,72,12647,79,1329,26,253,23,223,**,**,0,29,5304,**,**,30,2561,**,**,**,**,0,0,87,8870,83,2484,**,**,83,363,87,2851,75,1623,75,538,89,26421,20,86,**,**,0,0,**,**,0,0,0,0,0,0,58,501,88,6521,88,6758,53,1557,36,492
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92345,,"27,825","11,249","18,993","68,331","27,578","1,020,245","22,532","798,246","8,191","5,194","1,713","2,916","1,399","1,921","5,468","46,444",23,"1,281","3,937","1,226","16,351","4,109","77,620","4,938","43,625","2,097","18,943",24,240,"8,553","175,952","6,000","22,111","2,280","3,152","7,406","13,876","8,517","44,053","7,181","72,677","6,651","15,509","18,518","502,661","9,326","10,746",591,490,"6,157","7,177",916,505,"7,873","10,588","9,372","24,278","8,434","19,932",200,684,"14,525","61,888","18,118","70,717","3,851","7,334","23,239","70,659"
92345,"$1 under $25,000",13742,2835,8786,28388,11128,179890,9948,118948,2073,1245,419,478,338,220,3307,28705,**,342,8,373,2335,1303,12273,2319,17944,310,438,**,**,1080,15417,264,240,691,475,851,1550,1059,2591,817,7518,625,861,5015,27651,1902,718,30,14,802,257,112,39,5085,6259,6902,19702,6389,16250,0,0,3557,2234,6440,6708,1271,780,11784,32647
92345,"$25,000 under $50,000",7036,3155,5018,19130,8282,252776,6054,198981,2113,1104,407,488,329,210,1138,11020,23,301,30,320,3356,1130,19013,1435,15050,837,4589,24,240,2346,38486,1312,1953,950,1296,1927,3315,2334,7611,1870,16555,1706,2950,6479,104912,3643,3445,152,98,2552,2295,335,199,2336,3762,2470,4576,2045,3682,**,**,4408,9129,5027,11325,988,1562,6010,18944
92345,"$50,000 under $75,000",3724,2457,2703,10865,4467,228509,3434,191684,1828,935,343,359,280,253,522,2703,**,259,104,240,3647,769,16522,700,6240,482,6284,**,**,2309,45744,1834,4802,436,767,2022,3611,2308,10486,1984,19295,1872,3864,3704,129042,2086,3556,164,123,1660,2692,225,130,406,520,0,0,0,0,**,**,3289,13815,3370,14660,712,1381,3004,9045
92345,"$75,000 under $100,000",1864,1521,1408,5522,2058,160141,1730,133260,1113,558,258,310,218,250,268,1190,**,168,343,158,2706,479,13514,317,2866,279,4436,**,**,1478,34268,1314,5073,156,445,1354,2525,1477,9051,1309,13901,1260,3320,1862,101634,1014,1885,127,103,751,1331,139,76,46,47,0,0,0,0,45,64,1816,12694,1824,13214,430,1134,1433,4912
92345,"$100,000 under $200,000",1380,1215,1009,4220,1586,174442,1304,143923,995,813,251,414,203,298,233,2826,**,177,785,135,4307,400,14764,167,1525,169,2837,**,**,1265,37184,1204,8347,47,169,1185,2624,1265,12272,1147,14399,1125,3885,1379,120570,681,1142,118,152,392,602,105,61,**,**,0,0,0,0,96,212,1376,19421,1378,20119,410,1799,969,4247
92345,"$200,000 or more",79,66,69,206,57,24487,62,11450,69,539,35,867,31,690,**,**,**,34,2667,**,**,28,1534,**,**,20,359,0,0,75,4853,72,1696,**,**,67,251,74,2042,54,1009,63,629,79,18852,**,**,**,**,0,0,**,**,0,0,0,0,0,0,59,408,79,4595,79,4691,40,678,39,864
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92346,,"22,473","8,529","14,982","51,065","18,863","1,277,254","18,516","890,530","8,516","7,876","2,650","5,398","2,301","3,198","3,794","35,748",0,"2,033","5,015","1,342","18,220","4,164","113,071","2,754","23,506","2,274","25,117",76,"1,126","8,785","254,091","6,885","40,869","1,655","2,482","7,692","25,744","8,750","75,098","7,296","93,481","7,535","26,964","16,683","768,888","7,799","9,244",650,742,"4,569","5,348","1,068",645,"4,673","6,290","5,514","13,515","4,956","11,389",638,"2,753","14,055","138,568","15,986","145,622","3,880","12,923","18,108","58,790"
92346,"$1 under $25,000",9372,1299,5845,16779,5799,120463,6999,83802,1462,1323,483,626,409,330,1818,15026,0,380,-289,309,1627,965,9386,1225,8790,207,340,21,144,664,10148,145,275,429,300,479,1185,641,1973,441,4314,403,608,3951,22441,1435,570,22,8,542,189,64,22,3049,3742,4123,11024,3774,9290,**,**,2864,1914,4428,4263,1013,562,7915,20429
92346,"$25,000 under $50,000",4918,1554,3350,11674,4638,176926,4204,140098,1526,1285,396,742,338,403,614,4819,0,294,-25,285,2552,923,17431,667,6611,680,3904,**,**,1543,26603,895,1462,596,679,1201,2715,1536,5485,1139,10136,1201,2767,4592,81775,2416,2373,107,88,1523,1410,284,178,1352,2138,1391,2491,1182,2099,34,39,3347,7733,3645,8820,738,1036,4153,12377
92346,"$50,000 under $75,000",2936,1474,2059,7303,2697,181920,2557,144516,1576,1109,435,841,371,447,445,3248,0,314,-2,249,2893,735,20311,352,3249,520,6678,**,**,1862,39326,1495,4141,321,521,1588,4309,1859,9948,1507,16299,1572,4098,2911,106053,1413,2224,149,133,1016,1554,170,101,220,342,0,0,0,0,**,**,2668,12721,2718,13503,649,1316,2279,7166
92346,"$75,000 under $100,000",2053,1447,1435,5598,2031,178348,1841,139960,1399,803,413,591,365,344,355,2178,0,296,43,210,3180,639,21944,250,2496,400,6423,**,**,1685,42870,1481,5987,180,544,1538,4808,1684,12314,1476,18096,1537,4642,2045,111205,1053,1896,122,146,747,1247,163,102,52,68,0,0,0,0,32,53,2004,14599,2015,15289,484,1291,1568,5624
92346,"$100,000 under $200,000",2712,2362,1902,8291,3157,363232,2512,294945,2126,1864,718,1089,632,556,471,6852,0,559,1409,240,5919,772,35855,239,2161,403,6535,33,434,2556,86752,2448,18131,79,313,2440,9701,2555,30165,2330,35656,2387,9895,2706,244623,1353,2004,218,295,741,948,352,218,**,**,0,0,0,0,220,411,2695,40519,2702,42039,777,3279,1934,8541
92346,"$200,000 or more",482,393,391,1420,541,256365,403,87209,427,1492,205,1509,186,1118,91,3625,0,190,3879,49,2049,130,8144,21,199,64,1237,22,548,475,48392,421,10873,50,125,446,3026,475,15213,403,8980,435,4954,478,202791,129,177,32,72,0,0,35,24,0,0,0,0,0,0,352,2250,477,61082,478,61708,219,5439,259,4653
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92347,,482,219,333,"1,161",442,"18,119",397,"13,702",137,182,41,51,38,38,67,365,0,31,241,24,274,89,"1,792",54,399,52,487,0,0,101,"1,954",73,320,27,36,84,137,101,565,73,491,85,241,330,"9,771",142,153,23,22,88,101,0,0,116,179,128,328,116,282,0,0,278,"1,234",324,"1,335",64,106,407,"1,116"
92347,"$1 under $25,000",234,58,154,468,174,2992,175,2150,33,39,**,**,**,**,41,288,0,**,**,24,274,27,346,29,197,26,124,0,0,**,**,**,**,**,**,24,44,**,**,**,**,**,**,90,523,21,5,0,0,**,**,0,0,71,90,99,262,90,223,0,0,79,51,116,104,20,9,203,479
92347,"$25,000 under $50,000",113,63,79,308,124,4167,99,3305,36,21,41,51,38,38,26,77,0,31,241,**,**,38,878,25,202,**,**,0,0,31,517,**,**,27,36,**,**,31,100,**,**,27,99,106,1806,57,44,23,22,44,35,0,0,45,89,29,66,26,59,0,0,74,173,81,196,23,27,101,328
92347,"$50,000 under $75,000",78,53,56,237,99,4780,72,3989,35,52,**,**,**,**,**,**,0,**,**,**,**,**,**,**,**,26,363,0,0,34,535,39,91,**,**,29,42,34,144,44,311,27,40,78,2929,43,67,**,**,44,66,0,0,**,**,0,0,0,0,0,0,70,335,71,339,**,**,67,201
92347,"$75,000 under $100,000",34,45,44,87,45,2897,30,2127,33,70,**,**,**,**,**,**,0,**,**,**,**,24,568,**,**,**,**,0,0,36,902,34,229,**,**,31,51,36,321,29,180,31,102,33,2054,21,37,**,**,**,**,0,0,**,**,0,0,0,0,0,0,32,277,33,294,21,70,36,108
92347,"$100,000 under $200,000",23,**,**,61,**,3283,21,2131,**,**,**,**,**,**,**,**,0,**,**,**,**,**,**,0,0,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,23,2459,**,**,**,**,**,**,0,0,0,0,0,0,0,0,0,0,23,398,23,402,**,**,**,**
92347,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,**,**,**,**,**,**,**,**,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92354,,"8,941","3,403","5,702","18,436","5,919","520,279","7,461","410,765","3,528","4,418","1,169","4,223","1,010","2,675","1,534","23,938",0,"1,026","2,633",605,"9,803","1,513","32,356",777,"6,528",947,"12,236",58,"1,691","3,702","106,320","2,886","20,908",682,891,"2,616","9,423","3,685","33,346","2,290","29,833","3,251","25,413","6,924","318,974","3,067","4,065",217,347,"1,361","1,627",342,201,"1,165","1,501","1,709","3,486","1,463","2,964",388,"1,919","5,963","54,800","6,590","58,497","1,754","5,606","6,893","21,677"
